Region,Year,Price_EUR_per_Hectare
Sjeverna Hrvatska,2024,4943.0
Sjælland,2024,26299.0
Slovakia,2024,5823.0
Slovenia,2024,28348.0
Slovenija,2024,28348.0
Slovensko,2024,5823.0
Småland med öarna,2024,7470.0
Sostinės regionas,2024,4250.0
Southern,2024,49810.0
Steiermark,2024,44100.0
Sterea Elláda,2024,22228.0
Stockholm,2024,8896.0
Stredné Slovensko,2024,3380.0
Střední Morava,2024,15938.0
Střední Čechy,2024,15262.0
Sud-Est,2024,9136.0
Sud-Muntenia,2024,8229.0
Sud-Vest Oltenia,2024,8930.0
Sweden,2024,10706.0
Syddanmark,2024,21457.0
Sydsverige,2024,22191.0
Södra Sverige,2024,14196.0
Südösterreich,2024,45200.0
Thessalia,2024,14687.0
Tirol,2024,99500.0
Utrecht,2024,87471.0
Vest,2024,9605.0
Vidurio ir vakarų Lietuvos regionas,2024,5726.0
Vorarlberg,2024,86700.0
Voreia Elláda,2024,10026.0
Voreio Aigaio,2024,36968.0
Vzhodna Slovenija,2024,25151.0
Västsverige,2024,11913.0
Východné Slovensko,2024,4004.0
Warmińsko-mazurskie,2024,14769.0
Warszawski stołeczny,2024,10597.0
West-Nederland,2024,97531.0
Westösterreich,2024,54300.0
Wielkopolskie,2024,21710.0
Wien,2024,180000.0
Yugoiztochen,2024,6855.0
Yugozapaden,2024,4477.0
Yugozapadna i Yuzhna tsentralna Bulgaria,2024,3757.0
Yuzhen tsentralen,2024,3438.0
Zachodniopomorskie,2024,9119.0
Zahodna Slovenija,2024,44506.0
Zeeland,2024,93490.0
Zuid-Holland,2024,113355.0
Zuid-Nederland,2024,95558.0
Západné Slovensko,2024,7291.0
Észak-Alföld,2024,6422.0
Észak-Magyarország,2024,4181.0
Östra Mellansverige,2024,8887.0
Östra Sverige,2024,8887.0
Övre Norrland,2024,1933.0
Česko,2024,14835.0
Łódzkie,2024,14326.0
Śląskie,2024,12392.0
Świętokrzyskie,2024,11272.0
