Region,Year,Corn(tons/ha),Sunflower(tons/ha),Wheat(tons/ha)
Dél-Dunántúl,2024,6.74,2.97,
Départements d'outre-mer (NUTS 2010),2024,,,
Départements d'outre-mer (NUTS 2013),2024,1.14,,
Düsseldorf,2024,,,
East Anglia (NUTS 2021),2018,,,
East Midlands (UK) (NUTS 2021),2018,,,
East Wales (NUTS 2021),2018,,,
East Yorkshire and Northern Lincolnshire (NUTS 2021),2018,,,
East of England (NUTS 2021),2018,,,
Eastern Scotland (NUTS 2013),2018,,,
Eastern Scotland (NUTS 2021),2018,,,
Eastern and Midland,2024,,,
Eesti,2024,,,
Ege,2024,9.3,2.56,
Emilia-Romagna,2024,9.92,2.99,
Emilia-Romagna (NUTS 2006),2016,,,
Erzurum, Erzincan, Bayburt,2024,4.85,3.05,
Espace Mittelland,2024,10.01,2.13,
Essex (NUTS 2021),2018,,,
Est (FR) (NUTS 2013),2024,9.42,1.99,
Este,2024,11.16,1.37,
Estonia,2024,,,4.3
Etelä-Suomi,2024,,,
Etelä-Suomi (NUTS 2006),2024,,,
European Free Trade Association,2015,,,
European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020),2024,6.79,1.75,5.3
European Union - 27 countries (from 2020),2024,6.79,1.75,5.3
European Union - 28 countries (2013-2020),2018,8.36,2.48,5.41
Extra-Regio NUTS 1,2024,,,
Extra-Regio NUTS 1 (NUTS 2021),2018,,,
Extra-Regio NUTS 2,2024,,,
Extra-Regio NUTS 2 (NUTS 2021),2018,,,
Extremadura,2024,12.38,0.61,
Finland,2024,,,3.54
Flevoland,2024,8.0,,
France,2024,9.2,1.96,5.97
Franche-Comté,2024,8.56,1.91,
Franche-Comté (NUTS 2013),2024,,,
Freiburg,2024,,,
Friesland (NL),2024,9.33,0.0,
Friuli-Venezia Giulia,2024,5.74,2.56,
Friuli-Venezia Giulia (NUTS 2006),2016,,,
Galicia,2024,7.76,,
Gaziantep, Adıyaman, Kilis,2024,8.12,2.03,
Gelderland,2024,8.58,0.0,
Germany,2024,10.05,2.61,7.08
Gießen,2024,,,
Gloucestershire, Wiltshire and Bristol/Bath area (NUTS 2021),2018,,,
Grad Zagreb,2024,6.85,,
Grand Est,2024,11.08,2.36,
Grande Lisboa,2024,11.47,3.6,
Greater Manchester (NUTS 2021),2018,,,
Greece,2024,9.67,2.14,3.21
Groningen,2024,10.36,,
Guadeloupe,2024,,,
Guadeloupe (NUTS 2010),2024,,,
Guadeloupe (NUTS 2013),2024,,,
Guyane,2024,1.2,,
Guyane (NUTS 2010),2024,,,
Guyane (NUTS 2013),2024,,,
Güneydoğu Anadolu,2024,8.96,2.54,
Hamburg,2024,,,
Hampshire and Isle of Wight (NUTS 2021),2018,,,
Hannover,2024,,,
Hatay, Kahramanmaraş, Osmaniye,2024,9.83,3.37,
Haute-Normandie,2024,8.33,2.8,
Haute-Normandie (NUTS 2013),2024,,,
Hauts-de-France,2024,8.97,3.09,
Helsinki-Uusimaa,2024,,,
Herefordshire, Worcestershire and Warwickshire (NUTS 2021),2018,,,
Hessen,2024,9.21,,
Highlands and Islands (NUTS 2021),2018,,,
Hovedstaden,2024,5.9,,
Hrvatska,2024,7.57,2.97,
Hungary,2024,6.0,2.67,5.71
Iceland,2024,,,2.0
Ile de France,2024,9.61,2.56,
Illes Balears,2024,13.0,1.0,
Inner London (NUTS 2010),2018,,,
Inner London - East (NUTS 2021),2018,,,
Inner London - West (NUTS 2021),2018,,,
Innlandet,2024,,,
Ionia Nisia,2024,inf,,
Ionia Nisia (NUTS 2010),2024,,,
Ipeiros,2024,10.81,4.75,
Ipeiros (NUTS 2010),2024,,,
Ireland,2024,,0.0,8.14
Isole,2024,8.72,1.33,
Italy,2024,9.97,2.61,3.66
Itä-Suomi (NUTS 2006),2024,,,
Jadranska Hrvatska,2024,5.85,,
Jihovýchod,2024,7.57,2.5,
Jihozápad,2024,7.78,2.52,
Jug,2024,7.16,2.04,
Karlsruhe,2024,,,
Kassel,2024,,,
Kastamonu, Çankırı, Sinop,2024,2.59,2.03,
Kayseri, Sivas, Yozgat,2024,10.2,2.77,
Kent (NUTS 2021),2018,,,
Kentriki Ellada (NUTS 2010),2024,,,
Kentriki Elláda,2024,10.27,2.01,
Kentriki Makedonia,2024,8.7,1.55,
Kentriki Makedonia (NUTS 2010),2024,,,
Koblenz,2024,,,
Kocaeli, Sakarya, Düzce, Bolu, Yalova,2024,8.23,2.13,
Kontinentalna Hrvatska (NUTS 2016),2024,9.14,2.98,
Konya, Karaman,2024,12.11,3.43,
Kosovo*,2024,4.45,1.95,4.39
Kriti,2024,10.6,inf,
Kujawsko-pomorskie,2024,7.44,2.55,
Kuzeydoğu Anadolu,2024,11.33,3.13,
Kärnten,2024,11.19,2.8,
Köln,2024,,,
Közép-Dunántúl,2024,5.79,2.53,
Közép-Magyarország,2024,4.36,2.34,
Közép-Magyarország (NUTS 2013),2024,7.57,3.1,
Kýpros,2024,,,
Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir,2024,10.82,2.78,
La Rioja,2024,11.58,1.55,
La Réunion,2024,2.33,,
La Réunion (NUTS 2013),2024,,,
Lancashire (NUTS 2021),2018,,,
Languedoc-Roussillon,2024,4.13,1.86,
Languedoc-Roussillon (NUTS 2013),2024,,,
Latvia,2024,,,4.57
Latvija,2024,,,
Lazio,2024,8.58,2.29,
Lazio (NUTS 2006),2016,,,
Leicestershire, Rutland and Northamptonshire (NUTS 2021),2018,,,
Leipzig,2024,,,
Lietuva,2024,7.87,,
Liguria,2024,7.0,,
Limburg (NL),2024,7.74,0.0,
Limousin,2024,5.95,1.18,
Limousin (NUTS 2013),2024,,,
Lincolnshire (NUTS 2021),2018,,,
Lithuania,2024,7.87,,5.04
Lombardia,2024,10.74,3.11,
London (NUTS 2021),2018,,,
Lorraine,2024,8.28,2.04,
Lorraine (NUTS 2013),2024,,,
Lubelskie,2024,7.81,2.62,
Lubelskie (NUTS 2013),2024,,,
Lubuskie,2024,7.18,2.17,
Luxembourg,2024,6.88,2.39,5.18
Länsi-Suomi,2024,,,
Lódzkie (NUTS 2013),2024,,,
Lüneburg,2024,,,
Macroregiunea Doi,2024,2.43,1.21,
Macroregiunea Patru,2024,2.92,1.05,
Macroregiunea Trei,2024,1.99,1.13,
Macroregiunea Unu,2024,4.4,1.95,
Makroregion centralny,2024,7.16,2.12,
Makroregion południowo-zachodni,2024,7.6,2.4,
Makroregion południowy,2024,8.01,2.08,
Makroregion północno-zachodni,2024,7.28,2.31,
Makroregion północny,2024,7.21,2.43,
Makroregion województwo mazowieckie,2024,6.27,1.95,
Makroregion wschodni,2024,7.39,2.54,
Malatya, Elazığ, Bingöl, Tunceli,2024,inf,2.71,
Malta,2024,,,
Manisa, Afyonkarahisar, Kütahya, Uşak,2024,10.64,2.46,
Manner-Suomi,2024,,,
Marche,2024,7.52,2.56,
Marche (NUTS 2006),2016,,,
Mardin, Batman, Şırnak, Siirt,2024,9.96,2.03,
Martinique,2024,inf,,
Martinique (NUTS 2010),2024,,,
Martinique (NUTS 2013),2024,,,
Mayotte,2024,,,
Mayotte (NUTS 2013),2024,,,
Mazowiecki regionalny,2024,6.02,1.64,
Mazowieckie (NUTS 2013),2024,6.22,2.4,
Małopolskie,2024,8.12,2.15,
Mecklenburg-Vorpommern,2024,7.97,2.97,
Mellersta Norrland,2024,,,
Merseyside (NUTS 2021),2018,,,
Midi-Pyrénées,2024,9.23,2.04,
Midi-Pyrénées (NUTS 2013),2024,,,
Midtjylland,2024,6.72,,
Mittelfranken,2024,,,
Molise,2024,4.42,1.99,
Montenegro,2024,3.68,,2.86
Moravskoslezsko,2024,8.74,2.4,
Méditerranée (NUTS 2013),2024,7.23,2.08,
Münster,2024,,,
Netherlands,2024,8.45,0.0,6.97
Niederbayern,2024,,,
Niedersachsen,2024,10.29,3.4,
Niederösterreich,2024,8.65,2.52,
Nisia Aigaiou,2024,,,
Nisia Aigaiou, Kriti,2024,6.0,2.33,
Noord-Brabant,2024,8.37,0.0,
Noord-Holland,2024,8.0,0.0,
Noord-Nederland,2024,10.7,0.0,
Nord-Est,2024,4.76,1.44,
Nord-Est (NUTS 2006),2016,,,
Nord-Norge,2024,,,
Nord-Ovest,2024,11.24,2.85,
Nord-Pas de Calais,2024,9.59,2.81,
Nord-Pas-de-Calais (NUTS 2013),2024,6.72,1.0,
Nord-Vest,2024,4.01,1.82,
Nordjylland,2024,6.42,,
Nordrhein-Westfalen,2024,10.94,2.75,
Nordwestschweiz,2024,10.0,2.15,
Noreste,2024,12.15,1.38,
Norge,2024,,,
Normandie,2024,8.31,2.8,
Noroeste,2024,7.63,1.67,
Norra Mellansverige,2024,,,
Norra Sverige,2024,,,
Norte,2024,4.75,,
North East (UK) (NUTS 2021),2018,,,
North Eastern Scotland (NUTS 2021),2018,,,
North Macedonia,2024,4.6,1.1,3.45
North West (UK) (NUTS 2021),2018,,,
North Yorkshire (NUTS 2021),2018,,,
Northern Ireland (UK) (NUTS 2021),2018,,,
Northern and Western,2024,,,
Northumberland and Tyne and Wear (NUTS 2021),2018,,,
Norway,2024,,,5.23
Notio Aigaio,2024,6.0,,
Nouvelle-Aquitaine,2024,8.45,1.86,
Nyugat-Dunántúl,2024,7.02,2.56,
Oberbayern,2024,,,
Oberfranken,2024,,,
Oberpfalz,2024,,,
Oberösterreich,2024,10.55,2.21,
Occitanie,2024,9.12,2.02,
Oeste e Vale do Tejo,2024,12.86,3.2,
Oost-Nederland,2024,8.67,0.0,
Opolskie,2024,7.91,1.99,
Orta Anadolu,2024,10.76,2.77,
Ortadoğu Anadolu,2024,2.91,2.54,
Oslo og Akershus (statistical region 2016),2018,,,
Oslo og Viken,2024,,,
Ostschweiz,2024,9.99,2.13,
Ostösterreich,2024,8.38,2.37,
Ouest (FR) (NUTS 2013),2024,7.29,2.09,
Outer London (NUTS 2010),2018,,,
Outer London - East and North East (NUTS 2021),2018,,,
Outer London - South (NUTS 2021),2018,,,
Outer London - West and North West (NUTS 2021),2018,,,
Overijssel,2024,8.83,0.0,
Panonska Hrvatska,2024,7.47,2.99,
Pays de la Loire,2024,8.98,1.8,
Pays de la Loire (NUTS 2013),2024,,,
País Vasco,2024,2.84,1.9,
Peloponnisos,2024,14.84,0.67,
Peloponnisos (NUTS 2010),2024,,,
Península de Setúbal,2024,10.65,,
Pest,2024,4.36,2.34,
Picardie,2024,8.64,3.1,
Picardie (NUTS 2013),2024,,,
Piemonte,2024,11.74,2.75,
Podkarpackie,2024,7.52,2.3,
Podkarpackie (NUTS 2013),2024,,,
Podlaskie,2024,7.03,2.72,
Podlaskie (NUTS 2013),2024,,,
Pohjois- ja Itä-Suomi,2024,,,
Pohjois-Suomi (NUTS 2006),2024,,,
Poitou-Charentes,2024,7.6,1.88,
Poitou-Charentes (NUTS 2013),2024,,,
Poland,2024,7.22,2.34,5.11
Pomorskie,2024,7.14,2.06,
Portugal,2024,9.48,2.07,3.37
Praha,2024,11.0,inf,
Principado de Asturias,2024,2.97,,
Prov. Antwerpen,2024,6.64,,
Prov. Brabant wallon,2024,8.42,,
Prov. Hainaut,2024,8.65,,
Prov. Limburg (BE),2024,8.11,,
Prov. Liège,2024,6.04,,
Prov. Luxembourg (BE),2024,7.83,,
Prov. Namur,2024,6.57,,
Prov. Oost-Vlaanderen,2024,8.6,,
Prov. Vlaams-Brabant,2024,8.37,,
Prov. West-Vlaanderen,2024,8.72,,
Provence-Alpes-Côte d'Azur (NUTS 2013),2024,,,
Provence-Alpes-Côte d’Azur,2024,8.82,1.84,
Provincia Autonoma Bolzano/Bozen (NUTS 2006),2016,,,
Provincia Autonoma Trento (NUTS 2006),2016,,,
Provincia Autonoma di Bolzano/Bozen,2024,4.0,,
Provincia Autonoma di Trento,2024,4.66,,
Puglia,2024,6.13,1.93,
Qender,2024,7.12,1.8,
RUP FR — Régions Ultrapériphériques Françaises,2024,1.62,,
Region Centralny (NUTS 2013),2024,6.7,1.9,
Region Juzne i Istocne Srbije,2024,2.44,1.61,
Region Sumadije i Zapadne Srbije,2024,5.16,1.9,
Region Vojvodine,2024,6.14,2.45,
Region Wschodni (NUTS 2013),2024,6.76,1.52,
Região Autónoma da Madeira,2024,4.0,,
Região Autónoma dos Açores,2024,3.33,,
Región de Murcia,2024,10.06,0.97,
Rheinhessen-Pfalz,2024,,,
Rheinland-Pfalz,2024,10.54,,
Rhône-Alpes,2024,9.99,2.03,
Rhône-Alpes (NUTS 2013),2024,,,
Romania,2024,2.83,1.21,4.09
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2024,8.57,,
Région lémanique,2024,10.01,2.14,
Région wallonne,2024,8.27,,
Réunion (NUTS 2010),2024,,,
Saarland,2024,5.5,,
Sachsen,2024,8.89,2.62,
Sachsen-Anhalt,2024,8.66,2.8,
Salzburg,2024,10.69,,
Samsun, Tokat, Çorum, Amasya,2024,8.17,2.31,
Sardegna,2024,9.0,1.33,
Schleswig-Holstein,2024,11.21,,
Schwaben,2024,,,
Schweiz/Suisse/Svizzera,2024,10.0,2.14,
Scotland (NUTS 2021),2018,,,
Serbia,2024,5.17,2.37,5.28
Severen tsentralen,2024,3.24,2.07,
Severna Bulgaria (statistical region 2005),2024,,,
Severna Makedonija,2024,4.6,1.1,
Severna i Yugoiztochna Bulgaria,2024,3.22,1.83,
Severoiztochen,2024,3.29,1.99,
Severovýchod,2024,8.63,2.52,
Severozapaden,2024,3.12,1.88,
Severozápad,2024,8.67,2.55,
Shqipëria,2024,7.12,2.04,
Shropshire and Staffordshire (NUTS 2021),2018,,,
Sicilia,2024,5.3,,
Sjeverna Hrvatska,2024,7.8,2.75,
Sjeverozapadna Hrvatska (former statistical region),2024,,,
Sjælland,2024,8.23,,
Slovakia,2024,7.22,2.53,5.45
Slovenia,2024,9.2,2.11,5.47
Slovenija,2024,9.2,2.11,
Slovensko,2024,7.22,2.53,
Småland med öarna,2024,inf,,
Sostinės regionas,2024,8.48,,
South East (UK) (NUTS 2021),2018,,,
South West (UK) (NUTS 2021),2018,,,
South Western Scotland (NUTS 2013),2018,,,
South Yorkshire (NUTS 2021),2018,,,
Southern,2024,,,
Southern Scotland (NUTS 2021),2018,,,
Southern and Eastern (NUTS 2013),2024,,,
Spain,2024,12.12,1.1,3.65
Srbija - jug,2024,3.93,1.76,
Srbija - sever,2024,6.06,2.44,
Steiermark,2024,11.67,3.11,
Sterea Ellada (NUTS 2010),2024,,,
Sterea Elláda,2024,10.84,2.16,
Stockholm,2024,,,
Stredné Slovensko,2024,5.4,2.11,
Stuttgart,2024,,,
Střední Morava,2024,8.89,2.51,
Střední Čechy,2024,8.91,2.51,
Sud,2024,6.78,1.99,
Sud-Est,2024,2.27,1.17,
Sud-Muntenia,2024,2.01,1.13,
Sud-Ouest (FR) (NUTS 2013),2024,8.79,2.28,
Sud-Vest Oltenia,2024,2.16,0.79,
Sur,2024,11.59,1.25,
Surrey, East and West Sussex (NUTS 2021),2018,,,
Svalbard og Jan Mayen,2024,,,
Sweden,2024,6.77,,6.17
Swietokrzyskie (NUTS 2013),2024,,,
Switzerland,2024,10.0,2.14,3.67
Syddanmark,2024,6.42,,
Sydsverige,2024,6.99,,
Södra Sverige,2024,6.79,,
Sør-Østlandet (statistical region 2016),2018,,,
Südösterreich,2024,11.56,3.02,
Tees Valley and Durham (NUTS 2021),2018,,,
Tekirdağ, Edirne, Kırklareli,2024,7.77,1.68,
Thessalia,2024,10.17,1.98,
Thessalia (NUTS 2010),2024,,,
Thüringen,2024,9.67,3.13,
Ticino,2024,10.14,1.5,
Tirol,2024,9.4,inf,
Toscana,2024,8.17,2.68,
Toscana (NUTS 2006),2016,,,
Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane,2024,1.64,,
Trier,2024,,,
Trøndelag,2024,,,
Tübingen,2024,,,
Türkiye,2024,9.95,2.29,3.08
Umbria,2024,8.9,2.39,
Umbria (NUTS 2006),2016,,,
United Kingdom,2018,4.52,,7.67
Unterfranken,2024,,,
Utrecht,2024,7.0,,
Utrecht (NUTS 2021),2024,8.25,,
Valle d’Aosta/Vallée d’Aoste,2024,5.0,,
Van, Muş, Bitlis, Hakkari,2024,2.91,2.44,
Veneto,2024,9.81,3.13,
Veneto (NUTS 2006),2016,,,
Veri,2024,7.08,,
Vest,2024,3.84,2.03,
Vestlandet,2024,,,
Vestlandet (statistical region 2016),2018,,,
Vidurio ir vakarų Lietuvos regionas,2024,7.81,,
Vlaams Gewest,2024,8.34,,
Vorarlberg,2024,8.0,,
Voreia Ellada (NUTS 2010),2024,,,
Voreia Elláda,2024,9.35,2.16,
Voreio Aigaio,2024,0.67,2.33,
Vzhodna Slovenija,2024,9.3,2.12,
Vzhodna Slovenija (NUTS 2010),2024,,,
Västsverige,2024,6.52,,
Východné Slovensko,2024,7.59,2.24,
Wales (NUTS 2021),2018,,,
Warmińsko-mazurskie,2024,6.75,1.5,
Warszawski stołeczny,2024,7.94,3.25,
Weser-Ems,2024,,,
West Central Scotland (NUTS 2021),2018,,,
West Midlands (NUTS 2021),2018,,,
West Midlands (UK) (NUTS 2021),2018,,,
West Wales and The Valleys (NUTS 2021),2018,,,
West Yorkshire (NUTS 2021),2018,,,
West-Nederland,2024,8.72,0.0,
Westösterreich,2024,10.55,2.23,
Wielkopolskie,2024,7.31,2.46,
Wien,2024,7.9,3.67,
Yorkshire and The Humber (NUTS 2021),2018,,,
Yugoiztochen,2024,3.56,1.37,
Yugozapaden,2024,2.61,1.4,
Yugozapadna i Yuzhna tsentralna Bulgaria,2024,3.67,1.41,
Yuzhen tsentralen,2024,5.37,1.42,
Zachodniopomorskie,2024,7.21,2.18,
Zahodna Slovenija,2024,7.78,2.0,
Zahodna Slovenija (NUTS 2010),2024,,,
Zeeland,2024,8.76,0.0,
Zentralschweiz,2024,10.02,2.09,
Zonguldak, Karabük, Bartın,2024,1.21,,
Zuid-Holland,2024,,0.0,
Zuid-Holland (NUTS 2021),2024,13.0,0.0,
Zuid-Nederland,2024,8.12,0.0,
Západné Slovensko,2024,7.39,2.62,
Zürich,2024,10.03,2.15,
Área Metropolitana de Lisboa (NUTS 2021),2024,13.26,3.34,
Åland,2024,,,
Észak-Alföld,2024,6.3,2.76,
Észak-Magyarország,2024,6.74,2.53,
Ísland,2024,,,
Östra Mellansverige,2024,inf,,
Östra Sverige,2024,inf,,
Övre Norrland,2024,,,
Česko,2024,8.14,2.5,
İstanbul,2024,,2.08,
İzmir,2024,6.58,3.05,
Łódzkie,2024,7.38,2.16,
Śląskie,2024,7.91,2.03,
Świętokrzyskie,2024,6.1,1.88,
Şanlıurfa, Diyarbakır,2024,8.7,2.64,
