crop_name,temparature,humidity,moisture,soil_type,nitrogen,potassium,phosphorous
Ground Nuts,30.76,66.64,56.32,Red,41,3,4
Sugarcane,27.84,66.53,36.89,Loamy,7,11,20
Wheat,29.21,64.21,54.95,Red,7,11,31
Pulses,26.01,59.52,35.75,Loamy,11,13,15
Cotton,29.5,55.42,51.17,Red,23,0,23
Wheat,32.98,62.02,33.12,Red,40,0,0
Barley,24.24,59.04,50.07,Loamy,38,0,1
Wheat,33.54,59.28,52.09,Clayey,21,3,20
Ground Nuts,34.43,72.28,62.22,Clayey,35,4,0
Barley,32.19,68.94,67.37,Sandy,15,0,33
Oil seeds,32.55,71.46,67.14,Clayey,5,7,32
Wheat,28.38,52.02,43.83,Loamy,13,0,38
Maize,25.4,43.57,38.51,Red,36,0,0
Millets,33.8,52.28,53.31,Clayey,12,15,15
Paddy,28.38,47.58,34.86,Black,20,0,20
Oil seeds,28.37,59.8,35.35,Black,23,2,16
Sugarcane,30.08,73.84,41.22,Sandy,1,14,22
Wheat,34.95,64.93,62.63,Clayey,31,1,0
Cotton,35.56,74.88,52.16,Clayey,20,0,21
Oil seeds,24.05,52.76,58.9,Sandy,7,1,7
Barley,23.42,53.65,69.68,Sandy,11,3,14
Sugarcane,31.68,62.14,42.55,Black,17,0,31
Maize,31.03,69.0,49.46,Loamy,19,0,19
Maize,31.78,44.27,45.07,Loamy,5,8,32
Ground Nuts,22.3,60.64,40.78,Sandy,39,0,2
Cotton,26.39,52.62,22.27,Sandy,8,1,43
Tobacco,29.36,64.39,20.0,Red,13,4,39
Sugarcane,26.67,47.94,34.08,Black,13,0,8
Barley,26.75,56.87,20.0,Clayey,12,6,30
Sugarcane,30.64,65.77,32.86,Clayey,24,0,17
Pulses,29.89,48.59,38.0,Clayey,26,0,21
Ground Nuts,28.61,62.22,41.53,Loamy,8,13,18
Sugarcane,37.09,63.72,47.99,Red,39,2,0
Maize,21.78,55.6,33.66,Loamy,37,3,0
Wheat,30.42,70.37,55.92,Red,2,5,25
Pulses,35.39,52.28,42.97,Sandy,10,17,12
Oil seeds,30.53,52.17,41.92,Black,3,15,15
Ground Nuts,28.09,56.62,36.14,Loamy,10,0,34
Paddy,22.95,55.86,31.58,Black,16,3,22
Tobacco,32.06,75.56,55.73,Sandy,18,1,38
Maize,38.4,67.88,62.06,Clayey,11,11,16
Pulses,33.59,66.16,69.67,Sandy,12,13,27
Ground Nuts,26.47,62.91,46.87,Sandy,10,4,11
Oil seeds,31.56,58.25,29.12,Loamy,13,21,14
Ground Nuts,29.13,56.72,67.72,Clayey,8,13,32
Oil seeds,23.35,59.98,63.83,Black,36,4,0
Maize,26.75,58.1,39.27,Clayey,19,0,20
Millets,30.42,48.76,42.28,Red,41,0,1
Ground Nuts,24.9,51.02,31.9,Loamy,14,13,8
Wheat,27.31,57.3,22.41,Loamy,34,1,0
Ground Nuts,31.5,74.7,23.25,Clayey,8,1,9
Millets,27.63,69.25,41.18,Loamy,19,0,26
Maize,22.59,45.7,33.13,Black,38,0,4
Tobacco,35.97,60.1,26.8,Black,11,2,40
Sugarcane,27.69,55.55,27.9,Red,26,2,22
Millets,24.27,52.43,62.34,Loamy,6,1,14
Ground Nuts,30.42,50.01,26.27,Black,9,3,11
Barley,31.52,44.64,42.86,Red,13,0,35
Wheat,30.64,57.57,46.45,Red,12,4,13
Paddy,22.17,47.78,43.03,Clayey,15,0,16
Maize,36.5,65.85,42.33,Loamy,5,10,32
Maize,35.13,65.69,37.76,Black,8,4,6
Ground Nuts,24.82,53.75,47.97,Black,6,14,10
Oil seeds,31.24,55.88,37.05,Sandy,6,0,9
Cotton,29.77,46.18,63.79,Loamy,5,3,14
Oil seeds,25.86,46.65,32.67,Clayey,35,0,0
Cotton,30.15,60.77,42.93,Clayey,44,0,0
Ground Nuts,29.46,59.4,49.1,Clayey,10,0,12
Cotton,29.37,64.45,64.66,Black,38,0,0
Oil seeds,23.63,58.75,35.6,Red,19,0,18
Millets,32.45,60.24,55.92,Sandy,10,5,31
Paddy,37.34,63.39,25.36,Red,15,4,39
Cotton,30.41,67.24,65.58,Loamy,3,8,34
Barley,31.9,55.45,59.87,Sandy,12,0,37
Cotton,35.85,52.79,54.13,Clayey,16,13,16
Pulses,28.87,49.91,35.02,Red,20,0,23
Oil seeds,26.33,50.2,45.34,Clayey,9,19,18
Sugarcane,29.67,58.75,40.69,Sandy,35,0,0
Ground Nuts,32.2,50.72,39.63,Clayey,23,0,15
Millets,29.24,62.15,51.65,Black,6,0,41
Paddy,34.15,71.16,41.7,Red,37,0,1
Barley,31.56,55.15,56.8,Red,9,0,35
Oil seeds,24.76,56.88,20.0,Clayey,9,0,36
Barley,34.15,63.96,47.64,Red,11,0,14
Wheat,30.7,57.71,38.36,Sandy,9,4,18
Ground Nuts,34.89,53.79,37.58,Red,23,2,22
Cotton,26.7,63.42,24.65,Sandy,13,1,42
Ground Nuts,23.75,61.43,52.94,Black,37,0,0
Cotton,25.73,52.9,46.14,Red,21,0,18
Wheat,25.36,50.91,24.39,Loamy,13,0,10
Sugarcane,36.35,61.89,65.38,Black,39,0,0
Millets,21.91,46.66,45.27,Black,24,0,21
Pulses,26.44,65.84,50.2,Clayey,10,0,9
Wheat,28.93,50.28,20.33,Red,8,0,12
Maize,30.06,53.68,70.0,Sandy,7,6,34
Pulses,35.29,64.13,46.59,Clayey,16,13,13
Pulses,24.61,63.9,70.0,Loamy,41,2,0
Millets,29.38,60.44,45.57,Clayey,19,0,22
Barley,30.2,51.16,32.5,Red,20,0,19
Sugarcane,32.46,68.2,64.77,Sandy,11,0,9
Oil seeds,24.26,53.19,67.73,Clayey,34,0,4
Ground Nuts,37.9,75.51,25.35,Clayey,11,0,35
Cotton,31.1,55.48,46.43,Sandy,34,0,2
Wheat,31.75,62.4,34.97,Black,17,0,15
Pulses,27.29,57.56,53.09,Black,15,11,11
Paddy,26.71,55.89,69.87,Loamy,15,0,40
Oil seeds,29.25,56.07,33.6,Black,21,0,18
Barley,29.73,58.67,29.64,Red,17,0,20
Oil seeds,31.62,57.88,42.77,Clayey,10,12,18
Maize,25.93,54.07,23.84,Loamy,8,13,12
Maize,26.47,55.37,59.34,Sandy,11,1,12
Barley,21.92,53.0,33.57,Black,18,0,42
Oil seeds,24.35,58.11,34.04,Clayey,4,0,10
Sugarcane,29.55,45.99,50.06,Red,9,4,10
Pulses,28.29,60.24,33.44,Black,33,0,2
Pulses,31.31,73.26,70.0,Loamy,11,2,41
Cotton,30.05,58.21,23.31,Loamy,43,0,0
Paddy,31.27,62.18,32.06,Sandy,21,4,24
Ground Nuts,32.51,61.45,70.0,Loamy,10,1,32
Oil seeds,23.98,44.94,20.0,Sandy,14,11,13
Tobacco,30.28,69.29,53.16,Sandy,39,1,2
Sugarcane,28.02,54.85,55.71,Sandy,10,9,18
Sugarcane,28.66,56.26,39.29,Black,37,0,1
Millets,30.85,70.39,29.35,Black,22,0,26
Pulses,24.51,62.55,65.83,Loamy,13,4,5
Ground Nuts,22.33,56.84,29.98,Black,18,4,23
Tobacco,29.75,55.39,28.42,Sandy,42,1,4
Ground Nuts,28.27,52.86,22.36,Clayey,41,0,2
Paddy,33.27,67.2,40.49,Loamy,17,0,12
Millets,38.53,70.2,28.94,Loamy,10,0,32
Oil seeds,25.2,60.02,69.92,Sandy,8,14,31
Wheat,23.66,55.66,31.32,Red,38,0,2
Wheat,35.01,71.58,39.2,Black,9,0,16
Maize,36.92,69.78,32.64,Clayey,12,2,31
Tobacco,23.74,47.23,43.64,Red,18,0,19
Tobacco,30.51,48.99,28.68,Black,6,0,11
Tobacco,27.02,68.83,33.05,Black,0,16,19
Barley,27.77,42.89,59.1,Red,6,2,13
Cotton,39.65,63.55,47.33,Red,3,12,30
Barley,37.27,64.08,36.28,Red,15,4,45
Pulses,27.93,64.17,62.13,Black,7,0,6
Sugarcane,29.95,61.75,36.58,Black,37,0,0
Paddy,24.97,59.24,47.46,Sandy,26,0,21
Paddy,27.68,61.68,59.47,Clayey,18,0,36
Cotton,23.82,47.74,30.62,Black,2,20,12
Pulses,34.57,69.61,57.23,Clayey,38,0,0
Pulses,35.1,70.14,56.12,Loamy,16,0,44
Barley,33.71,59.42,29.32,Black,16,0,38
Cotton,24.75,45.31,49.7,Clayey,23,0,23
Millets,37.36,59.64,53.7,Loamy,3,12,31
Maize,32.22,56.29,48.76,Black,35,0,2
Paddy,32.35,48.81,46.33,Loamy,31,3,0
Cotton,40.0,80.0,59.99,Clayey,42,0,0
Cotton,25.85,62.32,48.82,Red,33,3,0
Barley,30.61,66.36,42.09,Red,8,22,18
Maize,34.51,54.79,54.12,Loamy,5,6,26
Paddy,29.66,43.74,43.31,Red,35,3,2
Maize,31.75,46.82,37.35,Red,16,0,15
Oil seeds,25.43,68.65,39.28,Red,20,0,17
Wheat,30.97,58.53,29.79,Loamy,10,21,13
Oil seeds,28.58,71.66,46.04,Red,10,12,9
Wheat,29.87,63.64,61.4,Black,15,16,10
Maize,25.09,54.56,34.08,Red,19,0,21
Cotton,29.76,45.13,30.91,Red,35,2,0
Tobacco,31.38,69.36,35.4,Black,35,3,0
Ground Nuts,36.7,70.28,23.31,Sandy,37,0,0
Barley,26.91,44.27,23.76,Loamy,18,0,45
Oil seeds,30.83,53.08,47.02,Black,7,0,5
Barley,31.98,55.89,57.6,Red,37,4,0
Paddy,30.46,48.84,33.31,Red,23,1,25
Paddy,29.24,54.29,47.85,Clayey,14,9,32
Maize,31.38,67.84,59.74,Loamy,12,0,34
Maize,29.08,54.19,61.72,Clayey,41,0,1
Cotton,40.0,60.8,50.41,Black,12,10,23
Ground Nuts,23.18,53.55,20.0,Black,19,15,15
Barley,32.61,54.79,70.0,Black,40,4,0
Paddy,36.12,72.17,33.4,Sandy,9,0,37
Barley,23.88,57.05,35.25,Loamy,40,3,0
Pulses,30.78,64.7,35.01,Clayey,14,0,12
Paddy,36.46,65.08,43.87,Red,10,8,27
Sugarcane,40.0,77.61,29.53,Loamy,7,4,45
Wheat,32.0,57.73,35.48,Black,42,0,0
Sugarcane,32.69,69.21,22.19,Black,4,10,26
Sugarcane,29.63,45.37,21.76,Black,14,0,11
Pulses,34.22,56.39,49.89,Red,25,0,19
Wheat,36.56,76.26,36.26,Sandy,7,11,34
Pulses,37.0,62.94,55.83,Loamy,35,1,0
Millets,37.66,74.6,28.6,Black,36,3,3
Ground Nuts,36.42,75.12,46.56,Sandy,14,2,37
Ground Nuts,29.92,50.41,62.32,Clayey,8,9,32
Maize,31.96,49.13,52.38,Loamy,8,0,38
Cotton,38.65,62.79,58.95,Black,10,0,43
Tobacco,24.94,50.42,55.75,Red,35,0,1
Pulses,26.11,52.09,44.94,Black,25,4,22
Barley,39.68,75.02,51.69,Clayey,3,4,31
Millets,32.74,64.14,68.56,Red,12,0,39
Tobacco,25.3,50.31,45.77,Loamy,14,1,36
Oil seeds,29.37,61.61,33.0,Loamy,4,9,26
Sugarcane,35.12,61.28,35.3,Red,11,0,36
Tobacco,31.57,46.3,28.05,Red,36,0,0
Wheat,38.0,61.23,26.32,Black,9,4,38
Barley,36.29,71.0,56.12,Black,38,0,0
Pulses,32.76,61.99,68.62,Black,13,0,38
Wheat,33.01,61.9,32.87,Sandy,41,3,1
Paddy,27.09,64.13,38.0,Black,28,0,27
Wheat,30.15,68.23,37.36,Sandy,11,0,9
Oil seeds,31.12,54.41,55.18,Clayey,12,0,31
Wheat,31.08,61.81,34.73,Red,38,3,0
Maize,34.99,65.23,27.62,Clayey,1,17,13
Millets,28.29,46.16,41.47,Black,3,12,16
Barley,37.61,61.11,36.72,Loamy,10,2,42
Barley,36.02,69.03,54.45,Sandy,21,0,22
Tobacco,28.58,41.09,30.84,Red,21,0,22
Tobacco,24.6,52.29,30.92,Black,16,0,39
Cotton,29.87,56.39,37.84,Sandy,13,4,6
Millets,29.85,47.2,57.02,Sandy,27,0,20
Millets,26.12,63.44,63.43,Loamy,5,10,36
Wheat,34.94,57.44,52.37,Sandy,5,3,5
Paddy,31.59,63.18,56.9,Black,16,4,36
Maize,37.33,67.17,37.59,Loamy,11,0,42
Tobacco,24.02,45.09,67.89,Loamy,37,1,2
Wheat,33.56,66.29,26.04,Clayey,43,2,2
Barley,30.78,50.3,52.95,Clayey,25,0,22
Ground Nuts,32.39,66.19,63.37,Clayey,10,7,26
Barley,31.26,67.75,26.57,Black,23,2,22
Ground Nuts,38.04,69.01,42.8,Red,9,8,32
Paddy,32.73,62.66,34.5,Red,12,1,44
Paddy,27.79,60.14,41.16,Clayey,37,0,4
Pulses,32.24,55.75,45.85,Black,44,0,0
Pulses,31.18,60.59,20.77,Black,12,0,42
Ground Nuts,34.04,65.18,55.33,Black,12,7,32
Pulses,28.92,49.12,20.0,Black,11,14,31
Wheat,36.08,74.86,38.71,Red,8,20,21
Millets,32.57,62.47,37.05,Sandy,14,3,36
Ground Nuts,32.53,51.27,44.71,Sandy,38,0,4
Paddy,25.19,60.71,52.06,Red,26,0,25
Wheat,28.66,47.45,44.04,Loamy,36,0,4
Paddy,24.59,58.22,64.12,Sandy,9,14,12
Tobacco,25.71,59.93,51.81,Clayey,8,0,37
Wheat,28.24,54.62,35.02,Clayey,10,0,12
Maize,33.95,61.0,45.29,Clayey,18,3,17
Sugarcane,33.88,59.02,35.32,Clayey,11,4,27
Oil seeds,30.87,58.93,70.0,Clayey,2,9,32
Maize,33.25,69.66,51.62,Sandy,36,0,4
Pulses,30.25,72.59,57.4,Black,4,0,15
Oil seeds,31.59,67.65,56.8,Sandy,7,3,42
Ground Nuts,37.68,62.61,54.72,Black,41,0,4
Oil seeds,30.23,70.15,26.2,Red,19,0,33
Ground Nuts,30.29,58.63,51.24,Loamy,24,0,16
Paddy,27.47,53.06,40.0,Red,8,0,40
Cotton,29.05,52.0,53.16,Black,19,0,15
Tobacco,22.27,58.06,38.54,Black,2,16,19
Cotton,26.4,57.87,57.72,Sandy,36,0,2
Sugarcane,24.38,52.09,25.67,Loamy,13,10,26
Pulses,33.24,51.28,65.32,Black,5,14,29
Barley,27.41,52.54,41.48,Black,9,0,10
Maize,32.64,77.53,39.18,Clayey,12,0,34
Barley,27.61,71.93,41.84,Red,18,0,29
Barley,36.71,76.2,24.17,Sandy,10,0,17
Oil seeds,31.72,71.9,41.1,Clayey,14,2,38
Cotton,38.33,70.83,45.85,Loamy,1,14,17
Pulses,31.36,44.29,43.74,Sandy,10,0,40
Maize,31.97,57.04,39.26,Loamy,23,0,26
Sugarcane,30.86,66.38,42.56,Clayey,15,0,41
Millets,29.81,63.42,20.0,Loamy,12,0,37
Barley,30.18,68.42,36.95,Clayey,34,2,1
Cotton,25.23,62.86,38.43,Red,41,0,4
Maize,37.04,68.38,51.4,Red,4,9,28
Paddy,26.14,52.36,40.32,Clayey,24,0,17
Sugarcane,25.71,49.13,33.26,Sandy,5,10,31
Paddy,30.12,69.25,21.43,Loamy,39,1,4
Cotton,27.34,63.01,48.83,Black,21,2,23
Pulses,30.29,69.44,58.64,Clayey,40,0,0
Millets,33.67,68.27,57.75,Clayey,34,4,0
Sugarcane,34.7,66.76,69.2,Loamy,7,14,16
Oil seeds,34.38,60.73,50.97,Red,9,11,8
Wheat,33.48,62.18,48.6,Black,9,3,13
Tobacco,33.6,60.98,68.08,Clayey,13,10,30
Sugarcane,31.74,62.32,52.3,Loamy,6,4,40
Oil seeds,27.11,49.05,43.91,Black,18,4,27
Wheat,29.56,70.11,44.74,Sandy,44,0,0
Barley,33.71,58.93,43.88,Loamy,18,0,33
Maize,21.93,44.5,63.49,Red,15,1,7
Maize,33.53,60.05,37.18,Red,12,1,40
Ground Nuts,25.31,51.61,33.05,Red,17,0,40
Ground Nuts,31.78,65.4,52.23,Sandy,18,0,42
Pulses,34.68,58.89,27.43,Sandy,39,1,0
Millets,39.75,60.73,38.94,Clayey,11,0,42
Oil seeds,22.69,51.37,61.27,Sandy,8,0,19
Wheat,24.06,40.2,34.24,Black,2,19,12
Sugarcane,38.25,74.83,48.66,Clayey,36,0,3
Millets,40.0,64.51,51.07,Red,36,0,0
Millets,35.73,71.25,45.65,Clayey,12,3,30
Maize,31.33,52.44,48.45,Black,40,0,2
Maize,32.64,71.49,45.45,Black,9,17,16
Millets,24.83,51.23,46.97,Red,19,0,18
Oil seeds,30.57,73.76,66.01,Loamy,18,0,39
Tobacco,27.61,52.18,38.91,Black,36,0,3
Barley,25.3,51.45,24.59,Sandy,9,9,32
Pulses,31.71,58.44,35.47,Loamy,14,0,34
Barley,25.28,55.82,32.12,Clayey,6,12,13
Sugarcane,29.97,58.25,31.86,Loamy,38,0,0
Wheat,32.38,58.5,45.02,Red,8,0,38
Sugarcane,30.69,59.44,51.07,Sandy,26,0,17
Millets,33.71,71.14,43.81,Clayey,37,0,4
Cotton,26.91,52.52,30.81,Black,17,3,41
Tobacco,29.32,51.48,40.11,Red,20,0,22
Wheat,25.99,55.37,65.56,Sandy,9,4,12
Wheat,33.65,66.5,65.99,Black,9,8,32
Wheat,29.23,55.19,29.27,Red,20,2,20
Oil seeds,25.5,65.19,38.34,Loamy,40,0,2
Wheat,26.92,56.83,44.88,Loamy,34,2,3
Paddy,35.51,70.33,59.14,Loamy,40,0,0
Tobacco,27.1,61.29,41.14,Sandy,28,3,16
Paddy,32.66,55.25,20.0,Red,0,13,16
Maize,35.8,55.37,57.55,Clayey,7,8,27
Maize,29.38,54.47,52.56,Sandy,22,0,24
Millets,36.66,76.82,39.74,Sandy,7,8,30
Wheat,32.53,60.02,29.35,Clayey,10,4,42
Pulses,32.66,74.93,33.56,Black,13,0,12
Maize,34.63,63.8,24.01,Black,11,0,38
Oil seeds,24.84,62.63,36.65,Black,7,8,28
Millets,29.0,44.56,33.96,Red,16,1,16
Ground Nuts,35.26,53.82,24.93,Red,21,2,19
Paddy,33.42,55.5,64.41,Black,5,5,32
Wheat,28.04,55.51,49.43,Sandy,40,0,4
Millets,34.9,61.86,35.47,Clayey,22,4,26
Wheat,22.34,53.62,38.61,Red,16,1,5
Paddy,28.11,47.2,36.8,Clayey,10,0,35
Wheat,34.35,66.79,51.52,Black,4,9,24
Tobacco,28.74,48.61,35.72,Red,14,3,37
Oil seeds,22.56,50.58,29.13,Loamy,12,0,17
Barley,26.95,50.63,43.0,Sandy,28,0,14
Wheat,26.39,54.79,46.15,Sandy,25,0,19
Ground Nuts,30.13,72.21,35.94,Red,39,3,0
Pulses,35.71,67.62,25.16,Red,35,0,2
Barley,28.88,60.85,28.57,Clayey,19,0,40
Sugarcane,27.05,44.74,56.64,Red,11,0,4
Tobacco,29.34,44.01,41.14,Loamy,42,0,0
Sugarcane,39.33,67.44,37.85,Loamy,7,0,37
Ground Nuts,28.53,59.01,60.57,Clayey,8,0,40
Cotton,23.12,58.63,37.49,Black,33,3,0
Paddy,31.53,58.95,51.37,Clayey,17,0,21
Wheat,33.55,60.65,58.59,Red,8,2,9
Pulses,30.15,64.35,67.45,Black,14,12,11
Tobacco,39.81,63.65,63.69,Red,11,4,37
Sugarcane,34.51,52.14,70.0,Clayey,4,11,26
Sugarcane,35.66,54.44,42.29,Loamy,26,0,18
Barley,25.65,62.92,28.49,Sandy,44,0,2
Ground Nuts,28.51,44.09,28.38,Black,36,0,0
Maize,30.09,54.43,60.02,Red,12,0,31
Paddy,22.27,61.81,43.11,Red,10,15,20
Maize,38.38,65.51,46.26,Black,9,18,17
Ground Nuts,32.61,50.77,63.48,Red,8,0,39
Paddy,26.99,47.9,45.66,Red,18,0,11
Millets,29.77,63.41,50.3,Black,16,0,7
Ground Nuts,28.27,59.38,45.0,Loamy,13,3,41
Cotton,33.5,53.07,46.85,Red,24,0,29
Pulses,37.95,68.37,55.82,Loamy,37,4,0
Ground Nuts,25.06,64.02,38.39,Black,26,3,22
Sugarcane,26.79,62.91,25.01,Loamy,14,0,35
Paddy,26.72,52.56,31.72,Sandy,12,0,41
Millets,22.39,61.19,37.56,Black,21,4,21
